wbid,term,found
WBGene00020461,regulation of protein metabolic process GO:0051246,1.0
WBGene00005643,regulation of protein metabolic process GO:0051246,1.0
WBGene00013461,regulation of protein metabolic process GO:0051246,1.0
WBGene00003150,regulation of protein metabolic process GO:0051246,1.0
WBGene00010765,regulation of protein metabolic process GO:0051246,1.0
WBGene00016803,regulation of protein metabolic process GO:0051246,1.0
WBGene00000417,regulation of protein metabolic process GO:0051246,1.0
WBGene00000935,regulation of protein metabolic process GO:0051246,1.0
WBGene00020893,regulation of protein metabolic process GO:0051246,1.0
WBGene00001595,regulation of protein metabolic process GO:0051246,1.0
WBGene00007985,regulation of protein metabolic process GO:0051246,1.0
WBGene00020651,regulation of protein metabolic process GO:0051246,1.0
WBGene00021939,regulation of protein metabolic process GO:0051246,1.0
WBGene00006612,regulation of protein metabolic process GO:0051246,1.0
WBGene00000411,chromosome segregation GO:0007059,1.0
WBGene00000868,chromosome segregation GO:0007059,1.0
WBGene00003183,chromosome segregation GO:0007059,1.0
WBGene00011915,chromosome segregation GO:0007059,1.0
WBGene00006988,chromosome segregation GO:0007059,1.0
WBGene00003161,chromosome segregation GO:0007059,1.0
WBGene00012678,chromosome segregation GO:0007059,1.0
WBGene00003421,chromosome segregation GO:0007059,1.0
WBGene00002034,chromosome segregation GO:0007059,1.0
WBGene00011415,chromosome segregation GO:0007059,1.0
WBGene00003499,chromosome segregation GO:0007059,1.0
WBGene00011576,chromosome segregation GO:0007059,1.0
WBGene00004888,chromosome segregation GO:0007059,1.0
WBGene00001860,chromosome segregation GO:0007059,1.0
WBGene00013443,chromosome segregation GO:0007059,1.0
WBGene00001832,chromosome segregation GO:0007059,1.0
WBGene00000875,chromosome segregation GO:0007059,1.0
WBGene00010093,chromosome segregation GO:0007059,1.0
WBGene00004874,chromosome segregation GO:0007059,1.0
WBGene00011501,chromosome segregation GO:0007059,1.0
WBGene00003159,chromosome segregation GO:0007059,1.0
WBGene00019712,chromosome segregation GO:0007059,1.0
WBGene00002073,chromosome segregation GO:0007059,1.0
WBGene00010839,chromosome segregation GO:0007059,1.0
WBGene00001865,chromosome segregation GO:0007059,1.0
WBGene00015150,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00004049,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00003598,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00009163,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00000411,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00002027,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00006387,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00006944,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00009132,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00004704,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00006618,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00006379,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00003668,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00001653,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00022805,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00001031,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00022253,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00010609,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00012678,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00018680,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00003421,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00011368,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00008682,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00011408,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00008684,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00000469,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00002034,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00011415,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00004384,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00013878,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00001536,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00020964,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00003499,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00009364,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00020480,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00011576,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00004888,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00002004,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00001998,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00001860,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00009661,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00004027,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00009124,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00012236,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00016154,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00003164,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00013688,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00011908,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00014124,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00044689,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00020189,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00044916,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00003026,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00011257,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00013857,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00018833,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00004296,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00022420,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00011036,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00022060,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00010260,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00008641,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00015143,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00017430,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00009006,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00010409,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00003154,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00000227,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00013583,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00012385,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00020091,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00003604,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00004334,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00012650,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00004984,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00014115,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00022278,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00022835,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00012484,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00009944,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00004339,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00018513,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00000413,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00022831,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00007603,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00019380,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00022620,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00002985,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00009287,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00020674,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00018721,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00007464,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00009372,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00022232,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00004298,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00003159,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00017051,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00012000,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00007013,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00013405,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00021689,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00016811,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00014250,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00017758,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00017025,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00015451,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00016674,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00011834,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00019712,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00003373,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00003155,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00001372,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00000271,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00008082,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00009159,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00008642,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00003976,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00001597,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00001061,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00012698,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00015497,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00007645,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00003619,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00001161,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00000935,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00011664,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00015189,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00004702,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00003405,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00007907,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00008645,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00001595,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00044329,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00004050,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00003037,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00010839,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00001865,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00009924,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00000223,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00000797,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00002850,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00020827,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00022172,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00004510,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00004950,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00021132,cellular aromatic compound metabolic process GO:0006725,1.0
WBGene00003598,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00002027,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00006387,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00006379,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00003668,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00001653,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00022805,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00001031,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00022253,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00008682,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00008684,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00000469,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00004384,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00013878,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00003499,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00020480,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00004888,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00002004,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00004027,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00009124,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00012236,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00016154,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00003164,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00044689,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00003026,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00011257,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00018833,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00022060,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00017430,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00013583,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00012385,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00020091,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00003604,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00004334,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00004984,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00022278,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00022835,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00000413,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00022831,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00019380,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00022620,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00009372,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00012000,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00007013,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00021689,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00017025,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00015451,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00003976,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00001061,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00015497,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00007645,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00003619,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00001161,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00000935,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00004702,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00007907,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00001595,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00003037,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00009924,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00000223,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00020827,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00004510,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00004950,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00021132,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00000868,meiotic cell cycle GO:0051321,1.0
WBGene00003183,meiotic cell cycle GO:0051321,1.0
WBGene00003185,meiotic cell cycle GO:0051321,1.0
WBGene00013038,meiotic cell cycle GO:0051321,1.0
WBGene00012678,meiotic cell cycle GO:0051321,1.0
WBGene00003421,meiotic cell cycle GO:0051321,1.0
WBGene00001413,meiotic cell cycle GO:0051321,1.0
WBGene00011803,meiotic cell cycle GO:0051321,1.0
WBGene00002034,meiotic cell cycle GO:0051321,1.0
WBGene00011415,meiotic cell cycle GO:0051321,1.0
WBGene00003499,meiotic cell cycle GO:0051321,1.0
WBGene00011576,meiotic cell cycle GO:0051321,1.0
WBGene00013443,meiotic cell cycle GO:0051321,1.0
WBGene00000770,meiotic cell cycle GO:0051321,1.0
WBGene00004244,meiotic cell cycle GO:0051321,1.0
WBGene00004296,meiotic cell cycle GO:0051321,1.0
WBGene00015698,meiotic cell cycle GO:0051321,1.0
WBGene00008641,meiotic cell cycle GO:0051321,1.0
WBGene00000875,meiotic cell cycle GO:0051321,1.0
WBGene00014115,meiotic cell cycle GO:0051321,1.0
WBGene00003785,meiotic cell cycle GO:0051321,1.0
WBGene00004874,meiotic cell cycle GO:0051321,1.0
WBGene00004298,meiotic cell cycle GO:0051321,1.0
WBGene00019712,meiotic cell cycle GO:0051321,1.0
WBGene00001597,meiotic cell cycle GO:0051321,1.0
WBGene00003405,meiotic cell cycle GO:0051321,1.0
WBGene00001595,meiotic cell cycle GO:0051321,1.0
WBGene00001865,meiotic cell cycle GO:0051321,1.0
WBGene00022172,meiotic cell cycle GO:0051321,1.0
WBGene00015150,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00004049,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00003598,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00009163,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00000411,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00002027,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00006387,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00006944,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00009132,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00004704,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00006618,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00006379,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00003668,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00001653,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00022805,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00001031,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00022253,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00010609,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00012678,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00018680,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00003421,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00011368,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00008682,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00011408,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00008684,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00000469,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00002034,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00011415,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00004384,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00013878,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00001536,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00020964,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00003499,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00009364,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00020480,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00011576,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00004888,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00002004,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00001998,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00001860,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00009661,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00004027,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00009124,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00012236,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00016154,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00003164,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00013688,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00011908,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00014124,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00044689,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00020189,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00044916,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00003026,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00011257,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00013857,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00018833,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00004296,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00022420,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00011036,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00022060,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00010260,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00008641,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00015143,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00017430,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00009006,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00010409,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00003154,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00000227,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00013583,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00012385,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00020091,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00003604,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00004334,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00012650,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00004984,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00014115,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00022278,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00022835,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00012484,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00009944,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00004339,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00018513,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00000413,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00022831,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00007603,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00019380,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00022620,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00002985,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00009287,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00012360,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00020674,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00018721,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00007464,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00009372,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00022232,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00004298,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00003159,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00017051,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00012000,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00007013,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00013405,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00021689,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00016811,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00014250,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00017758,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00017025,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00015451,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00016674,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00011834,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00019712,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00003373,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00003155,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00001372,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00000271,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00008082,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00009159,organic cyclic compound metabolic process GO:1901360,1.0
WBGene00008642,organic cyclic compound metabolic process GO:1901360,1.0
