Your Input	WormBase Gene ID	Public Name	Sequence Name	Other Name	RNAi Phenotype Observed	Allele Phenotype Observed	Concise Description	Automated Description	Reference
col-8	WBGene00000597	col-8	F11H8.3	col8, CELE_F11H8.3	N.A.	N.A.	col-8 encodes a collagen, individually dispensable for viability and gross morphology, which is specifically expressed in dauers and adults but not in eggs or L4 larvae, like col-7, col-18, and col-19\; the amino- and carboxyl-terminal cysteine-rich regions of COL-8 are most closely related to those of COL-19, COL-35, and COL-39.	Is predicted to be a structural constituent of cuticle.	WBPaper00000748|pmid2983191, WBPaper00000751|pmid3979813, WBPaper00001099|pmid3148742, WBPaper00001146|pmid2753356, WBPaper00001835|pmid8307321, WBPaper00001922|pmid8139571, WBPaper00002006|pmid8041603, WBPaper00006387|pmid14755799, WBPaper00025088|pmid15837805, WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140
C14A4.9	WBGene00007560	C14A4.9	C14A4.9	CELE_C14A4.9	age associated fluorescence increased, shortened life span	N.A.	N.A.	Is enriched in germline precursor cell\; hypodermis\; and intestine based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray\; proteomic\; and RNA-seq studies. Is affected by twenty-three chemicals including methylmercury hydroxide\; 1-methylnicotinamide\; and methylmercuric chloride based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: .	WBPaper00035215|pmid19763173
Y71G12B.18	WBGene00022156	Y71G12B.18	Y71G12B.18	CELE_Y71G12B.18	N.A.	N.A.	N.A.	Is enriched in hypodermis and intestine based on tiling array and microarray studies. Is affected by several genes including daf-2\; rrf-3\; and let-7 based on microarray\; RNA-seq\; and tiling array studies. Is affected by eleven chemicals including Heme\; Ethanol\; and methylmercury hydroxide based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: Methyltransferase FkbM domain and Methyltransferase FkbM.	N.A.
cutl-6	WBGene00012165	cutl-6	W01A8.3	CELE_W01A8.3	N.A.	N.A.	N.A.	Is enriched in PLM and somatic gonad precursor based on RNA-seq studies. Is affected by several genes including daf-2\; rrf-3\; and clk-1 based on tiling array\; microarray\; and RNA-seq studies. Is affected by seven chemicals including multi-walled carbon nanotube\; stavudine\; and Sodium Chloride based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Zona pellucida-like domain and Zona pellucida domain.	WBPaper00031295|pmid18053145, WBPaper00036109|pmid20346072
F26D11.2	WBGene00017819	F26D11.2	F26D11.2	CELE_F26D11.2	N.A.	N.A.	N.A.	Is enriched in head mesodermal cell and intestine based on RNA-seq and microarray studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on microarray and RNA-seq studies. Is affected by twelve chemicals including methylmercury hydroxide\; methylmercuric chloride\; and Tunicamycin based on RNA-seq and microarray studies.	N.A.
dos-2	WBGene00019640	dos-2	K10G6.2	CELE_K10G6.2	octanol chemotaxis defective	octanol chemotaxis defective	N.A.	Is enriched in germline precursor cell based on tiling array studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on microarray and RNA-seq studies. Is affected by nine chemicals including methylmercury hydroxide\; D-glucose\; and glycine based on RNA-seq and microarray studies.	WBPaper00040714|pmid22284182
grd-12	WBGene00001701	grd-12	F02D8.2	CELE_F02D8.2	body vacuole, everted vulva, intestinal vacuole, locomotion variant, small	N.A.	grd-12 encodes a hedgehog-like protein, with an N-terminal signalsequence, a central low-complexity proline-rich domain, and a C-terminalGround domain\; GRD-12 is expressed in intestine, rectal epithelium,undefined head and tail cells, vulva, and hypodermis\; the Ground domainis predicted to form a cysteine-crosslinked protein involved inintercellular signalling, and it has subtle similarity to the N-terminalHedge domain of HEDGEHOG proteins\; GRD-12 is required for normal growthto full size, locomotion, and vulval morphogenesis\; all of theserequirements may reflect common defects in cholesterol-dependenthedgehog-like signalling or in vesicle trafficking.	Is expressed in head\; tail\; and vulC. Is predicted to encode a protein with the following domains: Ground-like domain and Ground-like domain.	WBPaper00003717|pmid10523520, WBPaper00026841|pmid16204193, WBPaper00028754|pmid17076889, WBPaper00031006|pmid17850180, WBPaper00031588|pmid18334026
Y52B11B.1	WBGene00013130	Y52B11B.1	Y52B11B.1	CELE_Y52B11B.1	dumpy, locomotion variant	N.A.	N.A.	Is enriched in AFD\; AVK\; DA neuron\; and hypodermis based on RNA-seq and microarray studies. Is affected by several genes including daf-2\; rrf-3\; and lin-4 based on microarray\; RNA-seq\; and tiling array studies. Is affected by twelve chemicals including Ethanol\; methylmercury hydroxide\; and Tunicamycin based on RNA-seq and microarray studies.	N.A.
F25D1.3	WBGene00009108	F25D1.3	F25D1.3	CELE_F25D1.3	N.A.	lethal, sterile	N.A.	Is predicted to have cytokine activity. Human ortholog(s) of this gene are implicated in chronic mucocutaneous candidiasis. Is an ortholog of human IL17C (interleukin 17C).	N.A.
col-56	WBGene00000633	col-56	T08B2.2	CELE_T08B2.2	N.A.	N.A.	N.A.	Is affected by several genes including rrf-3\; clk-1\; and eat-2 based on microarray and RNA-seq studies. Is affected by twelve chemicals including methylmercuric chloride\; stavudine\; and Zidovudine based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: Collagen triple helix repeat (20 copies) and Collagen triple helix repeat.	N.A.
F58E6.13	WBGene00077697	F58E6.13	F58E6.13	CELE_F58E6.13	N.A.	N.A.	N.A.	Is enriched in PLM\; RIS\; head mesodermal cell\; hypodermis\; and somatic gonad precursor based on tiling array and RNA-seq studies. Is affected by several genes including daf-2\; skn-1\; and rrf-3 based on microarray\; proteomic\; tiling array\; and RNA-seq studies. Is affected by twenty-three chemicals including Nitric Oxide\; methylmercury hydroxide\; and nicotinic acid based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Putative ephrin-receptor like\; EGF-like domain\; EGF domain\; EGF-like domain\; Growth factor receptor cysteine-rich domain superfamily\; Tyrosine-protein kinase ephrin type A\/B receptor-like\; and EGF domain.	WBPaper00055090|pmid30120140
C43F9.11	WBGene00045024	C43F9.11	C43F9.11	CELE_C43F9.11	N.A.	N.A.	N.A.	Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on tiling array\; RNA-seq\; and microarray studies. Is affected by five chemicals including 1-methylnicotinamide\; multi-walled carbon nanotube\; and Sirolimus based on RNA-seq and microarray studies.	N.A.
mam-2	WBGene00008150	mam-2	C47E12.6	CELE_C47E12.6	N.A.	N.A.	N.A.	Is enriched in several structures, including ASER\; Z4.a\; germline precursor cell\; male distal tip cell\; and somatic gonad precursor based on tiling array and RNA-seq studies. Is affected by several genes including rrf-3\; lin-4\; and lin-14 based on microarray\; tiling array\; and RNA-seq studies. Is affected by nineteen chemicals including Ethanol\; methylmercury hydroxide\; and 1-methylnicotinamide based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: MAM domain and Concanavalin A-like lectin\/glucanase domain superfamily.	N.A.
Y73E7A.8	WBGene00022274	Y73E7A.8	Y73E7A.8	CELE_Y73E7A.8	N.A.	N.A.	N.A.	Is enriched in hypodermis based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on microarray\; tiling array\; RNA-seq\; and proteomic studies. Is affected by fifteen chemicals including aldicarb\; methylmercury hydroxide\; and 1-methylnicotinamide based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domain: Thrombospondin type-1 (TSP1) repeat superfamily.	N.A.
ptr-9	WBGene00004223	ptr-9	F54G8.5	CELE_F54G8.5	N.A.	N.A.	ptr-9 encodes an ortholog of Drosophila and human PTCHD3, which definesone of seven paralogous families of sterol sensing domain (SSD)proteins\; PTR-9 is required for normal development in mass RNAiassays.	Is involved in molting cycle. Is an ortholog of human PTCHD3 (patched domain containing 3).	WBPaper00026841|pmid16204193, WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140
C30F8.3	WBGene00016259	C30F8.3	C30F8.3	C30F8.d, C30F8.d, CELE_C30F8.3	N.A.	N.A.	N.A.	Is enriched in PLM\; Z1\; and Z4 based on RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on tiling array\; RNA-seq\; and microarray studies. Is affected by ten chemicals including Ethanol\; methylmercuric chloride\; and D-glucose based on RNA-seq and microarray studies.	N.A.
ugt-57	WBGene00017154	ugt-57	F01E11.1	CELE_F01E11.1	N.A.	N.A.	N.A.	Is predicted to have UDP-glycosyltransferase activity. Is an ortholog of human UGT3A1 (UDP glycosyltransferase family 3 member A1) and UGT3A2 (UDP glycosyltransferase family 3 member A2).	WBPaper00042257|pmid23496871, WBPaper00055433|pmid30293057
F41G3.2	not found
mboa-1	WBGene00007174	mboa-1	B0395.2	CELE_B0395.2	age associated fluorescence increased, locomotion variant, shortened life span	lethal, sterile	mboa-1 encodes a putative acyl-Coenzyme A:cholesterol ('sterol') O-acyltransferase, orthologous to human SOAT1 (OMIM:102642)\; MBOA-1 is required for normal locomotion and normally long lifespan in mass RNAi assays\; mboa-1 is expressed in the seam cells and nervous systems of larvae and adults, and in the adult reproductive system.	Is predicted to have cholesterol O-acyltransferase activity. Is expressed in head and tail. Is an ortholog of human SOAT1 (sterol O-acyltransferase 1).	WBPaper00038491|pmid21647448, WBPaper00042257|pmid23496871, WBPaper00049182|pmid26857627, WBPaper00055090|pmid30120140, WBPaper00059951|pmid32639091
R05G6.9	WBGene00019901	R05G6.9	R05G6.9	CELE_R05G6.9	N.A.	N.A.	R05G9.6 encodes a protein with a predicted signal sequence and EGF-like repeats that are related to those of Notch family members.	Is predicted to have calcium ion binding activity. Is an ortholog of human DLK2 (delta like non-canonical Notch ligand 2) and WIF1 (WNT inhibitory factor 1).	WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140
Y57A10A.24	WBGene00013264	Y57A10A.24	Y57A10A.24	CELE_Y57A10A.24	passage through meiosis defective early emb	N.A.	N.A.	Is enriched in intestine based on microarray studies. Is affected by several genes including daf-16\; rrf-3\; and daf-12 based on RNA-seq and microarray studies. Is affected by eight chemicals including manganese chloride\; Psoralens\; and allantoin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Lustrin, cysteine-rich repeated domain\; Cysteine-rich repeat\; and Lustrin, cysteine-rich repeated.	N.A.
F36F12.3	WBGene00018094	F36F12.3	F36F12.3	CELE_F36F12.3	N.A.	N.A.	N.A.	Is predicted to have transferase activity, transferring glycosyl groups.	N.A.
ptr-10	WBGene00004224	ptr-10	F55F8.1	CELE_F55F8.1	body vacuole, early larval arrest, intestinal vacuole, lethal, molt defect	labial sensillum morphology variant	ptr-10 encodes an ortholog of Drosophila and human PTCHD3, which definesone of seven paralogous families of sterol sensing domain (SSD)proteins\; PTR-10 is weakly required for normal molting from L4 to adultstages\; however, PTR-10 in conjunction with PTR-1 and PTR-6 is stronglyrequired for both molting and viability, with triple ptr-1\/-6\/-10 RNAianimals showing pronounced molting defects and lethality.	Is involved in molting cycle. Is expressed in accessory cell. Is an ortholog of human PTCHD3 (patched domain containing 3).	WBPaper00004265|pmid10921907, WBPaper00026841|pmid16204193, WBPaper00028381|pmid16884526, WBPaper00038491|pmid21647448, WBPaper00040113|pmid21857800, WBPaper00055090|pmid30120140
D1054.9	WBGene00008376	D1054.9	D1054.9	CELE_D1054.9	N.A.	N.A.	N.A.	Is enriched in GABAergic neurons and pharynx based on microarray studies. Is affected by several genes including daf-16\; daf-2\; and glp-1 based on microarray and RNA-seq studies. Is affected by sixteen chemicals including 1-methylnicotinamide\; manganese chloride\; and D-glucose based on RNA-seq and microarray studies.	N.A.
C17G10.10	WBGene00195182	C17G10.10	C17G10.10	CELE_C17G10.10	high incidence male progeny, meiosis variant	N.A.	N.A.	Is enriched in intestine and in male based on RNA-seq and microarray studies. Is affected by several genes including sir-2.1\; dpy-21\; and hpl-2 based on RNA-seq and microarray studies. Is affected by six chemicals including multi-walled carbon nanotube\; allantoin\; and Sirolimus based on RNA-seq studies.	N.A.
grl-2	WBGene00001711	grl-2	T16G1.8	CELE_T16G1.8	N.A.	N.A.	grl-2 encodes a hedgehog-like protein, with an N-terminal signalsequence, a central proline-rich low-complexity region, and a C-terminalGround-like (Grl) domain\; GRL-2 is expressed in neurons, amphid socketcells, and other cells\; the Grl domain is predicted to form acysteine-crosslinked protein involved in intercellular signalling, andit has subtle similarity to the N-terminal Hedge domain of HEDGEHOGproteins.	Is expressed in head. Is predicted to encode a protein with the following domains: Ground-like domain and Ground-like domain.	WBPaper00003717|pmid10523520, WBPaper00028754|pmid17076889, WBPaper00031588|pmid18334026
F48F7.3	WBGene00009849	F48F7.3	F48F7.3	CELE_F48F7.3	N.A.	N.A.	N.A.	Is predicted to have transferase activity, transferring glycosyl groups.	N.A.
T07G12.3	WBGene00011594	T07G12.3	T07G12.3	CELE_T07G12.3	N.A.	N.A.	N.A.	Is predicted to have catalytic activity.	N.A.
cutl-17	WBGene00009541	cutl-17	F38E11.4	CELE_F38E11.4	N.A.	N.A.	N.A.	Is enriched in DA neuron\; GABAergic neurons\; and VA neuron based on tiling array studies. Is affected by several genes including daf-16\; rrf-3\; and daf-12 based on tiling array\; microarray\; and RNA-seq studies. Is affected by eight chemicals including Tunicamycin\; manganese chloride\; and stavudine based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: PAN domain\; Zona pellucida domain\; and PAN\/Apple domain.	N.A.
cutl-7	WBGene00009961	cutl-7	F53B6.6	CELE_F53B6.6	N.A.	N.A.	N.A.	Is enriched in male-specific anatomical entity based on microarray studies. Is affected by several genes including lin-4\; lin-14\; and eat-2 based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Zona pellucida-like domain and Zona pellucida domain.	N.A.
Y54G2A.76	WBGene00235268	Y54G2A.76	Y54G2A.76	CELE_Y54G2A.76	N.A.	N.A.	N.A.	Is affected by several genes including daf-16\; daf-2\; and skn-1 based on RNA-seq and microarray studies. Is affected by six chemicals including stavudine\; Zidovudine\; and Psoralens based on RNA-seq studies.	N.A.
Y54G2A.28	WBGene00021892	Y54G2A.28	Y54G2A.28	Y54G2A.c, Y54G2A.c, CELE_Y54G2A.28	N.A.	N.A.	N.A.	Is enriched in OLL\; PVD\; germline precursor cell\; and intestine based on microarray and RNA-seq studies. Is affected by several genes including daf-2\; daf-12\; and eat-2 based on microarray\; tiling array\; and RNA-seq studies. Is affected by rotenone\; Rifampin\; and allantoin based on RNA-seq studies.	N.A.
C18H9.1	WBGene00016000	C18H9.1	C18H9.1	CELE_C18H9.1	N.A.	N.A.	N.A.	Is affected by several genes including rrf-3\; clk-1\; and mex-3 based on RNA-seq and microarray studies. Is affected by four chemicals including Psoralens\; allantoin\; and Sirolimus based on RNA-seq studies.	N.A.
glf-1	WBGene00019154	glf-1	H04M03.4	CELE_H04M03.4	age associated fluorescence increased, dumpy, engulfment variant, fat content reduced, larval lethal, locomotion variant, lysosome-related organelle morphology variant, molt defect, organism hypertonic lethality increased, paralyzed, protein aggregation variant, RAB-11 recycling endosome morphology variant, shortened life span, small, transgene expression increased, transgene subcellular localization variant	bleach hypersensitive, blistered, body constriction, cuticle carbohydrate surface variant, cuticle fragile, cuticle integrity variant, cuticle physiology variant, drug hypersensitive, embryonic lethal, ivermectin response variant, larval lethal, lethal, levamisole hypersensitive, organism hypersensitive desiccation, organism starvation hypersensitive, pathogen susceptibility increased, skiddy, sterile, tail swelling	glf-1 encodes a UDP-galactopyranose mutase predicted to synthesize galactofuranose (Gal(f)) as a nucleotide sugar (UDP-Gal(f))\; recombinant GLF-1 has biochemical activity either in vivo (expressed in E. coli) or in vitro\; orthologs of GLF-1 are found in the urochordates Halocynthia and Ciona.	Exhibits UDP-galactopyranose mutase activity. Is involved in cellular polysaccharide biosynthetic process. Localizes to cytoplasm. Is expressed in hypodermis\; muscle cell\; and neurons.	WBPaper00025248|pmid15947206, WBPaper00026629|pmid15987632, WBPaper00031805|pmid18425118, WBPaper00032236|pmid18829898, WBPaper00035194|pmid19751718, WBPaper00041497|pmid22348596, WBPaper00042431|pmid23697711, WBPaper00056673|pmid31055208
Y81G3A.4	WBGene00013592	Y81G3A.4	Y81G3A.4	CELE_Y81G3A.4	transgene expression increased	N.A.	N.A.	Is enriched in PLM\; Z1\; Z4\; hypodermis\; and somatic gonad precursor based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on microarray and RNA-seq studies. Is affected by thirteen chemicals including methylmercury hydroxide\; Rifampin\; and allantoin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: .	N.A.
lys-3	WBGene00003092	lys-3	Y22F5A.6	kreg-2, CELE_Y22F5A.6	N.A.	N.A.	lys-3 encodes one of a family of ten C. elegans lysozyme genes that are homologous to lysozymes in the amoeboid protozoan Entamoeba histolytica\; lys-3 expression is upregulated in response to stress\; lys-3 activity is required for the stress response to copper ion, and in response to copper ion stress, lys-3 expression is upregulated in a kgb-1-dependent manner.	Is involved in stress response to copper ion.	WBPaper00005382|pmid12176330, WBPaper00029437|pmid17526642, WBPaper00031802|pmid18423043, WBPaper00042067|pmid23437011
rocf-1	WBGene00011948	rocf-1	T23F1.5	CELE_T23F1.5	N.A.	N.A.	N.A.	Is enriched in hypodermis and intestine based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray and RNA-seq studies. Is affected by eighteen chemicals including 1-methylnicotinamide\; methylmercuric chloride\; and rotenone based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: Zona pellucida domain.	WBPaper00038491|pmid21647448
K03A11.6	WBGene00045497	K03A11.6	K03A11.6	CELE_K03A11.6	N.A.	N.A.	N.A.	Is affected by several genes including daf-16\; rrf-3\; and daf-12 based on microarray and RNA-seq studies. Is affected by four chemicals including Zidovudine\; glycine\; and adsorbable organic bromine compound based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: ShK domain-like and ShKT domain.	N.A.
ugt-59	WBGene00011238	ugt-59	R11A8.3	CELE_R11A8.3	locomotion variant, pattern of transgene expression variant, receptor mediated endocytosis defective, slow growth, sterile progeny	N.A.	N.A.	Is predicted to have UDP-glycosyltransferase activity. Human ortholog(s) of this gene are implicated in Crigler-Najjar syndrome and Gilbert syndrome. Is an ortholog of several human genes including UGT1A5 (UDP glucuronosyltransferase family 1 member A5)\; UGT2B28 (UDP glucuronosyltransferase family 2 member B28)\; and UGT2B7 (UDP glucuronosyltransferase family 2 member B7).	WBPaper00055433|pmid30293057
cutl-5	WBGene00017351	cutl-5	F10E7.10	CELE_F10E7.10	N.A.	N.A.	N.A.	Is enriched in male-specific anatomical entity and muscle cell based on RNA-seq studies. Is affected by several genes including daf-2\; skn-1\; and eat-2 based on tiling array\; microarray\; and RNA-seq studies. Is affected by ten chemicals including stavudine\; Zidovudine\; and Sodium Chloride based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: Zona pellucida domain.	N.A.
col-128	WBGene00000702	col-128	F12F6.9	CELE_F12F6.9	N.A.	N.A.	N.A.	Is enriched in OLL\; PVD\; hypodermis\; and intestine based on microarray\; tiling array\; and RNA-seq studies. Is affected by several genes including skn-1\; rrf-3\; and sir-2.1 based on microarray\; tiling array\; and RNA-seq studies. Is affected by twenty chemicals including methylmercury hydroxide\; 1-methylnicotinamide\; and nicotinic acid based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Collagen triple helix repeat (20 copies) and Collagen triple helix repeat.	N.A.
grd-16	WBGene00001705	grd-16	Y69A2AL.1	Y69A2AL.a, Y69A2AL.a, CELE_Y69A2AL.1	N.A.	N.A.	N.A.	Is affected by several genes including daf-16\; skn-1\; and daf-12 based on microarray and RNA-seq studies. Is affected by nine chemicals including methylmercuric chloride\; Alovudine\; and stavudine based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domain: .	WBPaper00028754|pmid17076889, WBPaper00031588|pmid18334026
zmp-2	WBGene00019212	zmp-2	H19M22.3	H19M22.d, H19M22.d, CELE_H19M22.3	apoptosis reduced, avoids bacterial lawn, dauer lifespan extended, germ cell compartment expansion variant, germ cell compartment morphology variant, germ cell compartment size variant, germline nuclear positioning variant, locomotion variant, maternal sterile, oocyte morphology variant, oocyte septum formation variant, oogenesis variant, rachis morphology variant, rachis narrow, rachis wide, slow growth, sterile, transgene expression increased	lethal, sterile	N.A.	Exhibits metallopeptidase activity. Is involved in several processes, including ecdysis, collagen and cuticulin-based cuticle\; negative regulation of cellular metabolic process\; and negative regulation of protein import into nucleus. Is expressed in several structures, including anal region\; body wall musculature\; gonad\; tail\; and vulval muscle.	WBPaper00036427|pmid20600277, WBPaper00055090|pmid30120140, WBPaper00056095|pmid30686527
F35G2.5	WBGene00009438	F35G2.5	F35G2.5	CELE_F35G2.5	N.A.	N.A.	N.A.	Is enriched in hypodermis and ventral nerve cord based on tiling array studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on RNA-seq and microarray studies. Is affected by eight chemicals including hydrogen sulfide\; stavudine\; and Zidovudine based on microarray and RNA-seq studies.	N.A.
spp-7	WBGene00004992	spp-7	ZK616.9	ZK616.b, ZK616.b, CELE_ZK616.9	N.A.	N.A.	spp-7 encodes an antimicrobial peptide that belongs to the SPP-protein family, called caenopores, with structural similarity to saposin-like proteins (SAPLIPs), the amoebapores and the mammalian NK-lysin and granulysin\; caenopores are part of the worm's innate immune system and interact with and eliminate bacteria via membrane pore-forming activity\; C. elegans has at least 33 putative SPP proteins\; promoter-gfp studies indicate that spp-7 is expressed in pharyngeal muscle, head neurons and the intestine.	Is expressed in head neurons\; intestine\; and pm7. Is predicted to encode a protein with the following domains: Saposin-like type B, region 2\; Saposin B type, region 2\; Saposin B type domain\; and Saposin-like.	WBPaper00029438|pmid17526726
F41G3.3	WBGene00018300	F41G3.3	F41G3.3	CELE_F41G3.3	N.A.	N.A.	N.A.	Is affected by several genes including daf-16\; skn-1\; and rrf-3 based on tiling array\; RNA-seq\; and microarray studies. Is affected by fourteen chemicals including methylmercuric chloride\; stavudine\; and Zidovudine based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domain: Phosphorylation site.	N.A.
Y37A1B.7	WBGene00012540	Y37A1B.7	Y37A1B.7	CELE_Y37A1B.7	N.A.	N.A.	N.A.	Is enriched in germline precursor cell\; hypodermis\; intestine\; mechanosensory neurons\; and somatic gonad precursor based on microarray\; tiling array\; and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray\; tiling array\; and RNA-seq studies. Is affected by twenty chemicals including methylmercury hydroxide\; methylmercuric chloride\; and manganese chloride based on RNA-seq and microarray studies.	WBPaper00035215|pmid19763173
