interpro_id	all_genes_with	all_genes_without	test_genes_with	test_genes_without	fra_all_genes_with	fra_test_genes_with	chisq_statistic	chisq_df	chisq_p	interpro_description	pos_neg	p.adj
IPR000048	10	31409	3	7824	0.000318278748527961	0.000383288616328095	7.55288022231927e-25	1	0.999999999999307	IQ motif, EF-hand binding site	negative	1
IPR000058	2	31417	0	7827	6.36557497055922e-05	0	4.21992207482755e-25	1	0.999999999999482	Zinc finger, AN1-type	negative	1
IPR000059	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	NUDIX hydrolase, NudL, conserved site	negative	1
IPR000061	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	SWAP/Surp	negative	1
IPR000072	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	PDGF/VEGF domain	negative	1
IPR000073	9	31410	3	7824	0.000286450873675165	0.000383288616328095	0.00595386790962064	1	0.938495219227748	Alpha/beta hydrolase fold-1	negative	1
IPR000082	3	31416	2	7825	9.54836245583882e-05	0.00025552574421873	0.31675821329772	1	0.573562384192738	SEA domain	negative	1
IPR000086	11	31408	1	7826	0.000350106623380757	0.000127762872109365	0.41654681349183	1	0.518665165850937	NUDIX hydrolase domain	negative	1
IPR000089	7	31412	5	7822	0.000222795123969573	0.000638814360546825	2.3173750417373	1	0.127935758261104	Biotin/lipoyl attachment	negative	1
IPR000092	2	31417	0	7827	6.36557497055922e-05	0	4.21992207482755e-25	1	0.999999999999482	Polyprenyl synthetase	negative	1
IPR000095	8	31411	1	7826	0.000254622998822369	0.000127762872109365	0.0605391556609146	1	0.805645803505376	CRIB domain	negative	1
IPR000101	2	31417	1	7826	6.36557497055922e-05	0.000127762872109365	2.68836078854197e-25	1	0.999999999999586	Gamma-glutamyltranspeptidase	negative	1
IPR000109	2	31417	2	7825	6.36557497055922e-05	0.00025552574421873	0.772300871409216	1	0.379506199200264	Proton-dependent oligopeptide transporter family	negative	1
IPR000111	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Glycoside hydrolase family 27/36, conserved site	negative	1
IPR000115	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Phosphoribosylglycinamide synthetase	negative	1
IPR000118	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Granulin	negative	1
IPR000120	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Amidase	negative	1
IPR000131	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	ATP synthase, F1 complex, gamma subunit	negative	1
IPR000146	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Fructose-1,6-bisphosphatase class 1	negative	1
IPR000152	20	31399	10	7817	0.000636557497055922	0.00127762872109365	2.58434956117861	1	0.107924734334292	EGF-type aspartate/asparagine hydroxylation site	negative	1
IPR000156	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Ran binding domain	negative	1
IPR000157	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Toll/interleukin-1 receptor homology (TIR) domain	negative	1
IPR000159	7	31412	4	7823	0.000222795123969573	0.00051105148843746	0.971776394729841	1	0.324237550446352	Ras-associating domain	negative	1
IPR000162	2	31417	0	7827	6.36557497055922e-05	0	4.21992207482755e-25	1	0.999999999999482	GPCR, family 3, metabotropic glutamate receptor	negative	1
IPR000163	2	31417	0	7827	6.36557497055922e-05	0	4.21992207482755e-25	1	0.999999999999482	Prohibitin	negative	1
IPR000164	5	31414	3	7824	0.00015913937426398	0.000383288616328095	0.640682845951692	1	0.423463636898878	Histone H3/CENP-A	negative	1
IPR000169	20	31399	4	7823	0.000636557497055922	0.00051105148843746	0.0214228193711323	1	0.883632969434557	Cysteine peptidase, cysteine active site	negative	1
IPR000172	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Glucose-methanol-choline oxidoreductase, N-terminal	negative	1
IPR000175	20	31399	3	7824	0.000636557497055922	0.000383288616328095	0.321944318808298	1	0.570441516844318	Sodium:neurotransmitter symporter	negative	1
IPR000182	12	31407	0	7827	0.000381934498233553	0	1.87134211407141	1	0.171321444656508	GNAT domain	negative	1
IPR000183	2	31417	1	7826	6.36557497055922e-05	0.000127762872109365	2.68836078854197e-25	1	0.999999999999586	Ornithine/DAP/Arg decarboxylase	negative	1
IPR000192	7	31412	4	7823	0.000222795123969573	0.00051105148843746	0.971776394729841	1	0.324237550446352	Aminotransferase class V domain	negative	1
IPR000194	3	31416	2	7825	9.54836245583882e-05	0.00025552574421873	0.31675821329772	1	0.573562384192738	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain	negative	1
IPR000195	14	31405	4	7823	0.000445590247939145	0.00051105148843746	3.88893818441298e-26	1	0.999999999999843	Rab-GAP-TBC domain	negative	1
IPR000196	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Large ribosomal subunit protein eL19 domain	negative	1
IPR000197	3	31416	0	7827	9.54836245583882e-05	0	0.0201766332056444	1	0.887044874942157	Zinc finger, TAZ-type	negative	1
IPR000198	15	31404	3	7824	0.000477418122791941	0.000383288616328095	0.00280838909738751	1	0.95773649990554	Rho GTPase-activating protein domain	negative	1
IPR000203	5	31414	2	7825	0.00015913937426398	0.00025552574421873	0.00967190590349587	1	0.921657672826749	GPS motif	negative	1
IPR000209	4	31415	2	7825	0.000127311499411184	0.00025552574421873	0.0961019423874538	1	0.756558573959798	Peptidase S8/S53 domain	negative	1
IPR000210	36	31383	9	7818	0.00114580349470066	0.00114986584898429	3.19216118175543e-29	1	0.999999999999995	BTB/POZ domain	negative	1
IPR000215	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Serpin family	negative	1
IPR000217	10	31409	5	7822	0.000318278748527961	0.000638814360546825	0.950516865337296	1	0.32958776858516	Tubulin	negative	1
IPR000218	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Large ribosomal subunit protein uL14	negative	1
IPR000219	12	31407	1	7826	0.000381934498233553	0.000127762872109365	0.575390784395446	1	0.448124678851268	Dbl homology (DH) domain	negative	1
IPR000222	5	31414	0	7827	0.00015913937426398	0	0.309671481272178	1	0.577881847533104	PPM-type phosphatase, divalent cation binding	negative	1
IPR000223	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Peptidase S26A, signal peptidase I	negative	1
IPR000225	12	31407	1	7826	0.000381934498233553	0.000127762872109365	0.575390784395446	1	0.448124678851268	Armadillo	negative	1
IPR000228	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	RNA 3-terminal phosphate cyclase
Sp34_20264620.t1	IPR013791	RNA 3-terminal phosphate cyclase, insert domain	negative	1
IPR000232	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Heat shock factor (HSF)-type, DNA-binding	negative	1
IPR000235	2	31417	1	7826	6.36557497055922e-05	0.000127762872109365	2.68836078854197e-25	1	0.999999999999586	Small ribosomal subunit protein uS7	negative	1
IPR000237	2	31417	0	7827	6.36557497055922e-05	0	4.21992207482755e-25	1	0.999999999999482	GRIP domain	negative	1
IPR000239	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	GPCR kinase	negative	1
IPR000241	2	31417	0	7827	6.36557497055922e-05	0	4.21992207482755e-25	1	0.999999999999482	Ribosomal RNA large subunit methyltransferase K/L-like, methyltransferase domain	negative	1
IPR000242	71	31348	2	7825	0.00225977911454852	0.00025552574421873	12.4994318265666	1	0.00040707580075622	Tyrosine-specific protein phosphatase, PTPase domain	negative	0.0920290592877733
IPR000243	3	31416	0	7827	9.54836245583882e-05	0	0.0201766332056444	1	0.887044874942157	Peptidase T1A, proteasome beta-subunit	negative	1
IPR000244	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Large ribosomal subunit protein bL9	negative	1
IPR000245	3	31416	3	7824	9.54836245583882e-05	0.000383288616328095	1.77365716065863	1	0.182930123458058	V-ATPase proteolipid subunit	negative	1
IPR000253	11	31408	3	7824	0.000350106623380757	0.000383288616328095	5.10684546397553e-25	1	0.99999999999943	Forkhead-associated (FHA) domain	negative	1
IPR000261	3	31416	1	7826	9.54836245583882e-05	0.000127762872109365	4.81587351127405e-26	1	0.999999999999825	EH domain	negative	1
IPR000266	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Small ribosomal subunit protein uS17	negative	1
IPR000268	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	DNA-directed RNA polymerase subunit RPABC5/Rpb10	negative	1
IPR000270	4	31415	1	7826	0.000127311499411184	0.000127762872109365	2.68295482200928e-29	1	0.999999999999996	PB1 domain	negative	1
IPR000276	98	31321	38	7789	0.00311913173557402	0.00485498914015587	4.97633452712373	1	0.0256963720552397	G protein-coupled receptor, rhodopsin-like	negative	1
IPR000277	2	31417	1	7826	6.36557497055922e-05	0.000127762872109365	2.68836078854197e-25	1	0.999999999999586	Cys/Met metabolism, pyridoxal phosphate-dependent enzyme	negative	1
IPR000286	5	31414	1	7826	0.00015913937426398	0.000127762872109365	1.26628631481677e-24	1	0.999999999999102	Histone deacetylase family	negative	1
IPR000297	2	31417	0	7827	6.36557497055922e-05	0	4.21992207482755e-25	1	0.999999999999482	Peptidyl-prolyl cis-trans isomerase, PpiC-type	negative	1
IPR000299	13	31406	9	7818	0.000413762373086349	0.00114986584898429	4.81752594479653	1	0.0281717535820196	FERM domain	negative	1
IPR000300	3	31416	1	7826	9.54836245583882e-05	0.000127762872109365	4.81587351127405e-26	1	0.999999999999825	Inositol polyphosphate-related phosphatase	negative	1
IPR000301	4	31415	3	7824	0.000127311499411184	0.000383288616328095	1.09065884881692	1	0.296325275383005	Tetraspanin, animals	negative	1
IPR000304	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Pyrroline-5-carboxylate reductase	negative	1
IPR000305	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	GIY-YIG endonuclease	negative	1
IPR000306	11	31408	1	7826	0.000350106623380757	0.000127762872109365	0.41654681349183	1	0.518665165850937	FYVE zinc finger	negative	1
IPR000307	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Small ribosomal subunit protein bS16	negative	1
IPR000313	2	31417	0	7827	6.36557497055922e-05	0	4.21992207482755e-25	1	0.999999999999482	PWWP domain	negative	1
IPR000315	5	31414	2	7825	0.00015913937426398	0.00025552574421873	0.00967190590349587	1	0.921657672826749	B-box-type zinc finger	negative	1
IPR000322	3	31416	1	7826	9.54836245583882e-05	0.000127762872109365	4.81587351127405e-26	1	0.999999999999825	Glycoside hydrolase family 31, TIM barrel domain	negative	1
IPR000323	3	31416	2	7825	9.54836245583882e-05	0.00025552574421873	0.31675821329772	1	0.573562384192738	Copper type II, ascorbate-dependent monooxygenase, N-terminal	negative	1
IPR000326	4	31415	1	7826	0.000127311499411184	0.000127762872109365	2.68295482200928e-29	1	0.999999999999996	Phosphatidic acid phosphatase type 2/haloperoxidase	negative	1
IPR000327	2	31417	2	7825	6.36557497055922e-05	0.00025552574421873	0.772300871409216	1	0.379506199200264	POU-specific domain	negative	1
IPR000330	13	31406	2	7825	0.000413762373086349	0.00025552574421873	0.1009140242269	1	0.750735514228867	SNF2, N-terminal	negative	1
IPR000331	3	31416	2	7825	9.54836245583882e-05	0.00025552574421873	0.31675821329772	1	0.573562384192738	Rap/Ran-GAP domain	negative	1
IPR000333	2	31417	1	7826	6.36557497055922e-05	0.000127762872109365	2.68836078854197e-25	1	0.999999999999586	Ser/Thr protein kinase, TGFB receptor	negative	1
IPR000337	3	31416	1	7826	9.54836245583882e-05	0.000127762872109365	4.81587351127405e-26	1	0.999999999999825	GPCR, family 3	negative	1
IPR000340	13	31406	5	7822	0.000413762373086349	0.000638814360546825	0.288394021052592	1	0.591251522029155	Dual specificity phosphatase, catalytic domain	negative	1
IPR000341	2	31417	0	7827	6.36557497055922e-05	0	4.21992207482755e-25	1	0.999999999999482	Phosphatidylinositol 3-kinase Ras-binding (PI3K RBD) domain	negative	1
IPR000344	18	31401	0	7827	0.000572901747350329	0	3.32349976446321	1	0.0682962976455601	7TM GPCR, serpentine receptor class a (Sra)	negative	1
IPR000352	2	31417	0	7827	6.36557497055922e-05	0	4.21992207482755e-25	1	0.999999999999482	Peptide chain release factor class I	negative	1
IPR000357	3	31416	0	7827	9.54836245583882e-05	0	0.0201766332056444	1	0.887044874942157	HEAT repeat	negative	1
IPR000361	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	FeS cluster biogenesis	negative	1
IPR000362	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Fumarate lyase family	negative	1
IPR000367	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	G-protein alpha subunit, group S	negative	1
IPR000372	2	31417	2	7825	6.36557497055922e-05	0.00025552574421873	0.772300871409216	1	0.379506199200264	Leucine-rich repeat N-terminal domain	negative	1
IPR000375	2	31417	0	7827	6.36557497055922e-05	0	4.21992207482755e-25	1	0.999999999999482	Dynamin stalk domain	negative	1
IPR000380	2	31417	0	7827	6.36557497055922e-05	0	4.21992207482755e-25	1	0.999999999999482	DNA topoisomerase, type IA	negative	1
IPR000387	76	31343	7	7820	0.0024189184888125	0.000894340104765555	6.19775349181343	1	0.0127912565787863	Tyrosine-specific protein phosphatases domain	negative	1
IPR000398	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Thymidylate synthase	negative	1
IPR000402	2	31417	2	7825	6.36557497055922e-05	0.00025552574421873	0.772300871409216	1	0.379506199200264	Sodium/potassium-transporting ATPase subunit beta	negative	1
IPR000403	10	31409	0	7827	0.000318278748527961	0	1.39898991651725	1	0.236892764738206	Phosphatidylinositol 3-/4-kinase, catalytic domain	negative	1
IPR000406	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Rho protein GDP-dissociation inhibitor	negative	1
IPR000407	3	31416	0	7827	9.54836245583882e-05	0	0.0201766332056444	1	0.887044874942157	Nucleoside phosphatase GDA1/CD39	negative	1
IPR000408	8	31411	1	7826	0.000254622998822369	0.000127762872109365	0.0605391556609146	1	0.805645803505376	Regulator of chromosome condensation, RCC1	negative	1
IPR000409	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	BEACH domain	negative	1
IPR000413	2	31417	2	7825	6.36557497055922e-05	0.00025552574421873	0.772300871409216	1	0.379506199200264	Integrin alpha chain	negative	1
IPR000418	8	31411	6	7821	0.000254622998822369	0.00076657723265619	3.28171944634295	1	0.0700554986965433	Ets domain	negative	1
IPR000421	3	31416	3	7824	9.54836245583882e-05	0.000383288616328095	1.77365716065863	1	0.182930123458058	Coagulation factor 5/8 C-terminal domain	negative	1
IPR000424	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Primosome PriB/single-strand DNA-binding	negative	1
IPR000425	9	31410	4	7823	0.000286450873675165	0.00051105148843746	0.396786405559049	1	0.528753575028689	Major intrinsic protein	negative	1
IPR000426	5	31414	0	7827	0.00015913937426398	0	0.309671481272178	1	0.577881847533104	Proteasome alpha-subunit, N-terminal domain	negative	1
IPR000432	4	31415	0	7827	0.000127311499411184	0	0.138820631640746	1	0.709456290231413	DNA mismatch repair protein MutS, C-terminal	negative	1
IPR000433	6	31413	2	7825	0.000190967249116776	0.00025552574421873	9.63701411312688e-26	1	0.999999999999752	Zinc finger, ZZ-type	negative	1
IPR000435	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Tektins	negative	1
IPR000436	7	31412	4	7823	0.000222795123969573	0.00051105148843746	0.971776394729841	1	0.324237550446352	Sushi/SCR/CCP domain	negative	1
IPR000447	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	FAD-dependent glycerol-3-phosphate dehydrogenase	negative	1
IPR000454	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	ATP synthase, F0 complex, subunit C	negative	1
IPR000456	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Large ribosomal subunit protein bL17	negative	1
IPR000462	4	31415	0	7827	0.000127311499411184	0	0.138820631640746	1	0.709456290231413	CDP-alcohol phosphatidyltransferase	negative	1
IPR000463	8	31411	1	7826	0.000254622998822369	0.000127762872109365	0.0605391556609146	1	0.805645803505376	Cytosolic fatty-acid binding	negative	1
IPR000465	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	XPA	negative	1
IPR000467	11	31408	0	7827	0.000350106623380757	0	1.63397343242644	1	0.201154346714925	G-patch domain	negative	1
IPR000472	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Activin types I and II receptor domain	negative	1
IPR000473	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Large ribosomal subunit protein bL36	negative	1
IPR000477	290	31129	26	7801	0.00923008370731086	0.00332183467484349	26.6512940444725	1	2.43687526403551e-07	Reverse transcriptase domain	negative	0.000142232286244206
IPR000483	5	31414	4	7823	0.00015913937426398	0.00051105148843746	2.02374276285055	1	0.154857037174118	Cysteine-rich flanking region, C-terminal	negative	1
IPR000488	5	31414	3	7824	0.00015913937426398	0.000383288616328095	0.640682845951692	1	0.423463636898878	Death domain	negative	1
IPR000489	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Pterin-binding domain	negative	1
IPR000493	2	31417	1	7826	6.36557497055922e-05	0.000127762872109365	2.68836078854197e-25	1	0.999999999999586	Inositol 1,4,5-trisphosphate receptor	negative	1
IPR000494	17	31402	0	7827	0.000541073872497533	0	3.07930960343733	1	0.0792941787066636	Receptor L-domain	negative	1
IPR000504	100	31319	10	7817	0.00318278748527961	0.00127762872109365	7.4698631124739	1	0.00627403216626771	RNA recognition motif domain	negative	0.796203439759059
IPR000509	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Large ribosomal subunit protein eL36	negative	1
IPR000511	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Holocytochrome c/c1 synthase	negative	1
IPR000519	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	P-type trefoil domain	negative	1
IPR000529	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Small ribosomal subunit protein bS6	negative	1
IPR000533	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Tropomyosin	negative	1
IPR000534	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Semialdehyde dehydrogenase, NAD-binding	negative	1
IPR000535	59	31360	1	7826	0.00187784461631497	0.000127762872109365	11.4520380354695	1	0.00071415630982138	Major sperm protein (MSP) domain	negative	0.144287042134297
IPR000536	57	31362	25	7802	0.00181418886660938	0.00319407180273413	5.07957532111793	1	0.0242092990344408	Nuclear hormone receptor, ligand-binding domain	negative	1
IPR000537	2	31417	0	7827	6.36557497055922e-05	0	4.21992207482755e-25	1	0.999999999999482	UbiA prenyltransferase family	negative	1
IPR000539	3	31416	0	7827	9.54836245583882e-05	0	0.0201766332056444	1	0.887044874942157	Frizzled/Smoothened, 7TM	negative	1
IPR000541	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Cytoplasmic tRNA 2-thiolation protein 1	negative	1
IPR000542	3	31416	2	7825	9.54836245583882e-05	0.00025552574421873	0.31675821329772	1	0.573562384192738	Acyltransferase ChoActase/COT/CPT	negative	1
IPR000547	3	31416	0	7827	9.54836245583882e-05	0	0.0201766332056444	1	0.887044874942157	Clathrin, heavy chain/VPS, 7-fold repeat	negative	1
IPR000552	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Large ribosomal subunit protein eL42	negative	1
IPR000554	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Small ribosomal subunit protein eS7	negative	1
IPR000555	5	31414	0	7827	0.00015913937426398	0	0.309671481272178	1	0.577881847533104	JAB1/MPN/MOV34 metalloenzyme domain	negative	1
IPR000557	6	31413	3	7824	0.000190967249116776	0.000383288616328095	0.346059281316259	1	0.556352397275948	Calponin repeat	negative	1
IPR000558	2	31417	2	7825	6.36557497055922e-05	0.00025552574421873	0.772300871409216	1	0.379506199200264	Histone H2B	negative	1
IPR000559	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Formate-tetrahydrofolate ligase, FTHFS	negative	1
IPR000560	26	31393	8	7819	0.000827524746172698	0.00102210297687492	0.0953760304058461	1	0.757450771442639	Histidine phosphatase superfamily, clade-2	negative	1
IPR000566	3	31416	1	7826	9.54836245583882e-05	0.000127762872109365	4.81587351127405e-26	1	0.999999999999825	Lipocalin/cytosolic fatty-acid binding domain	negative	1
IPR000569	6	31413	0	7827	0.000190967249116776	0	0.506632106173702	1	0.476600437341548	HECT domain	negative	1
IPR000571	17	31402	3	7824	0.000541073872497533	0.000383288616328095	0.0748265300582524	1	0.784434779216208	Zinc finger, CCCH-type	negative	1
IPR000572	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Oxidoreductase, molybdopterin-binding domain	negative	1
IPR000573	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Aconitase A/isopropylmalate dehydratase small subunit, swivel domain	negative	1
IPR000577	3	31416	1	7826	9.54836245583882e-05	0.000127762872109365	4.81587351127405e-26	1	0.999999999999825	Carbohydrate kinase, FGGY	negative	1
IPR000580	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	TSC22/Bun	negative	1
IPR000582	3	31416	0	7827	9.54836245583882e-05	0	0.0201766332056444	1	0.887044874942157	Acyl-CoA-binding protein, ACBP	negative	1
IPR000584	2	31417	1	7826	6.36557497055922e-05	0.000127762872109365	2.68836078854197e-25	1	0.999999999999586	Voltage-dependent calcium channel, L-type, beta subunit	negative	1
IPR000585	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Hemopexin-like domain	negative	1
IPR000587	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Creatinase, N-terminal	negative	1
IPR000589	3	31416	2	7825	9.54836245583882e-05	0.00025552574421873	0.31675821329772	1	0.573562384192738	Small ribosomal subunit protein uS15	negative	1
IPR000591	6	31413	2	7825	0.000190967249116776	0.00025552574421873	9.63701411312688e-26	1	0.999999999999752	DEP domain	negative	1
IPR000593	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	RasGAP protein, C-terminal	negative	1
IPR000594	4	31415	0	7827	0.000127311499411184	0	0.138820631640746	1	0.709456290231413	THIF-type NAD/FAD binding fold	negative	1
IPR000595	11	31408	4	7823	0.000350106623380757	0.00051105148843746	0.108002562663705	1	0.742429750433172	Cyclic nucleotide-binding domain	negative	1
IPR000602	3	31416	1	7826	9.54836245583882e-05	0.000127762872109365	4.81587351127405e-26	1	0.999999999999825	Glycoside hydrolase family 38, N-terminal domain	negative	1
IPR000608	19	31400	2	7825	0.000604729622203126	0.00025552574421873	0.850400382439428	1	0.356439096200976	Ubiquitin-conjugating enzyme E2	negative	1
IPR000609	16	31403	0	7827	0.000509245997644737	0	2.83577178667895	1	0.0921865011369964	7TM GPCR, serpentine receptor class g (Srg)	negative	1
IPR000611	8	31411	4	7823	0.000254622998822369	0.00051105148843746	0.639563277324779	1	0.423868985013272	Neuropeptide Y receptor family	negative	1
IPR000612	6	31413	2	7825	0.000190967249116776	0.00025552574421873	9.63701411312688e-26	1	0.999999999999752	Proteolipid membrane potential modulator	negative	1
IPR000615	13	31406	4	7823	0.000413762373086349	0.00051105148843746	0.00442886416642714	1	0.946940180950643	Bestrophin	negative	1
IPR000626	20	31399	3	7824	0.000636557497055922	0.000383288616328095	0.321944318808298	1	0.570441516844318	Ubiquitin-like domain	negative	1
IPR000629	18	31401	0	7827	0.000572901747350329	0	3.32349976446321	1	0.0682962976455601	ATP-dependent RNA helicase DEAD-box, conserved site	negative	1
IPR000630	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Small ribosomal subunit protein uS8	negative	1
IPR000631	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	ATP/ADP-dependent (S)-NAD(P)H-hydrate dehydratase	negative	1
IPR000633	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Vinculin, conserved site	negative	1
