AH6.1	IPR001054	Adenylyl cyclase class-3/4/guanylyl cyclase
AH6.1	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
AH6.1	IPR001828	Receptor, ligand binding region
AH6.1	IPR011009	Protein kinase-like domain superfamily
AH6.1	IPR018297	Adenylyl cyclase class-4/guanylyl cyclase, conserved site
AH6.1	IPR028082	Periplasmic binding protein-like I
AH6.1	IPR029787	Nucleotide cyclase
AH6.10	IPR000344	7TM GPCR, serpentine receptor class a (Sra)
AH6.11	IPR000344	7TM GPCR, serpentine receptor class a (Sra)
AH6.12	IPR000344	7TM GPCR, serpentine receptor class a (Sra)
AH6.14	IPR000344	7TM GPCR, serpentine receptor class a (Sra)
AH6.2	IPR004686	Tricarboxylate/iron carrier
AH6.4	IPR000344	7TM GPCR, serpentine receptor class a (Sra)
AH6.5	IPR000571	Zinc finger, CCCH-type
AH6.5	IPR036855	Zinc finger, CCCH-type superfamily
AH6.5	IPR045877	RNA-binding protein ZFP36-like
AH6.6	IPR000344	7TM GPCR, serpentine receptor class a (Sra)
AH6.7	IPR000344	7TM GPCR, serpentine receptor class a (Sra)
AH6.8	IPR000344	7TM GPCR, serpentine receptor class a (Sra)
AH9.1	IPR000276	G protein-coupled receptor, rhodopsin-like
AH9.1	IPR017452	GPCR, rhodopsin-like, 7TM
AH9.2	IPR012337	Ribonuclease H-like superfamily
AH9.2	IPR013520	Exonuclease, RNase T/DNA polymerase III
AH9.2	IPR036397	Ribonuclease H superfamily
AH9.2	IPR047201	ERI-1-like, DEDDh 3'-5' exonuclease domain
AH9.4	IPR000276	G protein-coupled receptor, rhodopsin-like
AH9.4	IPR017452	GPCR, rhodopsin-like, 7TM
B0001.1a	IPR004991	Aerolysin-like toxin
B0001.2	IPR004987	Protein of unknown function DUF272
B0001.4a	IPR000764	Uridine kinase-like
B0001.4a	IPR006083	Phosphoribulokinase/uridine kinase
B0001.4a	IPR027417	P-loop containing nucleoside triphosphate hydrolase
B0019.1	IPR002937	Amine oxidase
B0019.1	IPR036188	FAD/NAD(P)-binding domain superfamily
B0019.2	IPR006570	SPK domain
B0019.2	IPR009057	Homeobox-like domain superfamily
B0024.1	IPR002486	Nematode cuticle collagen, N-terminal
B0024.1	IPR008160	Collagen triple helix repeat
B0024.10	IPR021569	TUG ubiquitin-like domain
B0024.10	IPR029071	Ubiquitin-like domain superfamily
B0024.11	IPR001656	Pseudouridine synthase, TruD
B0024.11	IPR011760	Pseudouridine synthase, TruD, insertion domain
B0024.11	IPR020103	Pseudouridine synthase, catalytic domain superfamily
B0024.11	IPR020119	Pseudouridine synthase TruD, conserved site
B0024.11	IPR042214	Pseudouridine synthase, TruD, catalytic domain
B0024.12	IPR000182	GNAT domain
B0024.12	IPR016181	Acyl-CoA N-acyltransferase
B0024.12	IPR039143	Glucosamine 6-phosphate N-acetyltransferase-like
B0024.13	IPR001104	3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal
B0024.13	IPR039698	Polyprenol reductase
B0024.14b	IPR000867	Insulin-like growth factor-binding protein, IGFBP
B0024.14b	IPR001007	VWFC domain
B0024.14b	IPR004094	Antistasin-like domain
B0024.14b	IPR009030	Growth factor receptor cysteine-rich domain superfamily
B0024.15	IPR002659	Glycosyl transferase, family 31
B0024.2	IPR002486	Nematode cuticle collagen, N-terminal
B0024.2	IPR008160	Collagen triple helix repeat
B0024.3	IPR002619	Domain of unknown function CX
B0024.4	IPR005071	Transmembrane glycoprotein
B0024.6b	IPR000719	Protein kinase domain
B0024.6b	IPR001054	Adenylyl cyclase class-3/4/guanylyl cyclase
B0024.6b	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
B0024.6b	IPR001828	Receptor, ligand binding region
B0024.6b	IPR011009	Protein kinase-like domain superfamily
B0024.6b	IPR011645	Haem NO binding associated
B0024.6b	IPR018297	Adenylyl cyclase class-4/guanylyl cyclase, conserved site
B0024.6b	IPR028082	Periplasmic binding protein-like I
B0024.6b	IPR029787	Nucleotide cyclase
B0024.8a	IPR011989	Armadillo-like helical
B0024.8a	IPR016024	Armadillo-type fold
B0024.8a	IPR024395	CLASP N-terminal domain
B0024.8a	IPR034085	TOG domain
B0024.9a	IPR013766	Thioredoxin domain
B0024.9a	IPR017937	Thioredoxin, conserved site
B0024.9a	IPR036249	Thioredoxin-like superfamily
B0025.1a	IPR000403	Phosphatidylinositol 3-/4-kinase, catalytic domain
B0025.1a	IPR001263	Phosphoinositide 3-kinase, accessory (PIK) domain
B0025.1a	IPR002420	C2 phosphatidylinositol 3-kinase-type domain
B0025.1a	IPR008290	Phosphatidylinositol 3-kinase, Vps34 type
B0025.1a	IPR011009	Protein kinase-like domain superfamily
B0025.1a	IPR015433	Phosphatidylinositol kinase
B0025.1a	IPR016024	Armadillo-type fold
B0025.1a	IPR018936	Phosphatidylinositol 3/4-kinase, conserved site
B0025.1a	IPR035892	C2 domain superfamily
B0025.1a	IPR036940	Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily
B0025.1a	IPR042236	Phosphoinositide 3-kinase, accessory (PIK) domain superfamily
B0025.2	IPR000717	Proteasome component (PCI) domain
B0025.2	IPR011990	Tetratricopeptide-like helical domain superfamily
B0025.2	IPR036390	Winged helix DNA-binding domain superfamily
B0025.4	IPR015418	Chromatin modification-related protein Eaf6
B0034.3a	IPR002126	Cadherin-like
B0034.3a	IPR013320	Concanavalin A-like lectin/glucanase domain superfamily
B0034.3a	IPR015919	Cadherin-like superfamily
B0034.3a	IPR026914	Calsyntenin
B0034.3a	IPR045588	Calsyntenin, C-terminal
B0034.5	IPR000276	G protein-coupled receptor, rhodopsin-like
B0034.5	IPR017452	GPCR, rhodopsin-like, 7TM
B0035.10	IPR000164	Histone H3/CENP-A
B0035.10	IPR007125	Histone H2A/H2B/H3
B0035.10	IPR009072	Histone-fold
B0035.11	IPR007149	Leo1-like protein
B0035.12	IPR000504	RNA recognition motif domain
B0035.12	IPR003107	HAT (Half-A-TPR) repeat
B0035.12	IPR008669	LSM-interacting domain
B0035.12	IPR011990	Tetratricopeptide-like helical domain superfamily
B0035.12	IPR012677	Nucleotide-binding alpha-beta plait domain superfamily
B0035.12	IPR035979	RNA-binding domain superfamily
B0035.13	IPR002921	Fungal lipase-like domain
B0035.13	IPR029058	Alpha/Beta hydrolase fold
B0035.14a	IPR001623	DnaJ domain
B0035.14a	IPR015399	Domain of unknown function DUF1977, DnaJ-like
B0035.14a	IPR018253	DnaJ domain, conserved site
B0035.14a	IPR036869	Chaperone J-domain superfamily
B0035.15	IPR009622	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4
B0035.16	IPR004506	tRNA-specific 2-thiouridylase
B0035.16	IPR014729	Rossmann-like alpha/beta/alpha sandwich fold
B0035.16	IPR023382	tRNA-specific 2-thiouridylase MnmA-like, central domain superfamily
B0035.16	IPR046884	tRNA-specific 2-thiouridylase MnmA-like, central domain
B0035.16	IPR046885	tRNA-specific 2-thiouridylase MnmA-like, C-terminal domain
B0035.18	IPR034884	Mitochondrial cytochrome c oxidase subunit VIc/VIIs
B0035.18	IPR037169	Mitochondrial cytochrome c oxidase subunit VIc/VIIs superfamily
B0035.1b	IPR003656	Zinc finger, BED-type
B0035.1b	IPR013087	Zinc finger C2H2-type
B0035.2	IPR001623	DnaJ domain
B0035.2	IPR018253	DnaJ domain, conserved site
B0035.2	IPR036869	Chaperone J-domain superfamily
B0035.2	IPR044632	DnaJ homolog subfamily C member 25-like
B0035.3	IPR002589	Macro domain
B0035.3	IPR043472	Macro domain-like
B0035.4	IPR002777	Prefoldin beta-like
B0035.4	IPR016661	Prefoldin, subunit 4
B0035.5	IPR001282	Glucose-6-phosphate dehydrogenase
B0035.5	IPR019796	Glucose-6-phosphate dehydrogenase, active site
B0035.5	IPR022674	Glucose-6-phosphate dehydrogenase, NAD-binding
B0035.5	IPR022675	Glucose-6-phosphate dehydrogenase, C-terminal
B0035.5	IPR036291	NAD(P)-binding domain superfamily
B0035.7	IPR002119	Histone H2A
B0035.7	IPR007125	Histone H2A/H2B/H3
B0035.7	IPR009072	Histone-fold
B0035.7	IPR032454	Histone H2A, C-terminal domain
B0035.7	IPR032458	Histone H2A conserved site
B0035.8	IPR000558	Histone H2B
B0035.8	IPR007125	Histone H2A/H2B/H3
B0035.8	IPR009072	Histone-fold
B0035.9	IPR001951	Histone H4
B0035.9	IPR009072	Histone-fold
B0035.9	IPR019809	Histone H4, conserved site
B0035.9	IPR035425	CENP-T/Histone H4, histone fold
B0041.3	IPR018392	LysM domain
B0041.3	IPR036779	LysM domain superfamily
B0041.3	IPR045030	LysM and putative peptidoglycan-binding domain-containing protein 1-4
B0041.4	IPR002136	Large ribosomal subunit protein uL4
B0041.4	IPR013000	Large ribosomal subunit protein uL4, eukaryotic/archaeal, conserved site
B0041.4	IPR023574	Large ribosomal subunit protein uL4 domain superfamily
B0041.4	IPR025755	Large ribosomal subunit protein uL4, C-terminal domain
B0041.4	IPR045240	Large ribosomal subunit protein uL4, eukaryotic and archaeal type
B0041.6a	IPR007115	6-pyruvoyl tetrahydropterin synthase/QueD family
B0041.6a	IPR022470	6-pyruvoyl tetrahydropterin synthase, cysteine active site
B0041.6a	IPR038418	6-pyruvoyl tetrahydropterin synthase/QueD superfamily
B0041.7	IPR000330	SNF2, N-terminal
B0041.7	IPR001650	Helicase, C-terminal
B0041.7	IPR014001	Helicase superfamily 1/2, ATP-binding domain
B0041.7	IPR027417	P-loop containing nucleoside triphosphate hydrolase
B0041.7	IPR038718	SNF2-like, N-terminal domain superfamily
B0041.7	IPR044574	ATPase ARIP4-like
B0047.1	IPR000210	BTB/POZ domain
B0047.1	IPR002083	MATH/TRAF domain
B0047.1	IPR008974	TRAF-like
B0047.1	IPR011333	SKP1/BTB/POZ domain superfamily
B0047.3	IPR000210	BTB/POZ domain
B0047.3	IPR002083	MATH/TRAF domain
B0047.3	IPR008974	TRAF-like
B0047.3	IPR011333	SKP1/BTB/POZ domain superfamily
B0047.4	IPR002083	MATH/TRAF domain
B0047.4	IPR008974	TRAF-like
B0198.1	IPR000301	Tetraspanin, animals
B0198.1	IPR008952	Tetraspanin, EC2 domain superfamily
B0198.1	IPR018499	Tetraspanin/Peripherin
B0198.3a	IPR000719	Protein kinase domain
B0198.3a	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
B0198.3a	IPR011009	Protein kinase-like domain superfamily
B0205.11	IPR000244	Large ribosomal subunit protein bL9
B0205.11	IPR009027	Large ribosomal subunit protein bL9/RNase H1, N-terminal
B0205.11	IPR020070	Large ribosomal subunit protein bL9, N-terminal
B0205.11	IPR036935	Large ribosomal subunit protein bL9, N-terminal domain superfamily
B0205.12	IPR027854	Short transmembrane mitochondrial protein 1
B0205.1a	IPR006570	SPK domain
B0205.2b	IPR018817	7TM GPCR, serpentine receptor class z (Srz)
B0205.3	IPR002035	von Willebrand factor, type A
B0205.3	IPR003903	Ubiquitin interacting motif
B0205.3	IPR036465	von Willebrand factor A-like domain superfamily
B0205.4	IPR002516	Glycosyl transferase, family 11
B0205.6	IPR000192	Aminotransferase class V domain
B0205.6	IPR010240	Cysteine desulfurase IscS
B0205.6	IPR015421	Pyridoxal phosphate-dependent transferase, major domain
B0205.6	IPR015422	Pyridoxal phosphate-dependent transferase, small domain
B0205.6	IPR015424	Pyridoxal phosphate-dependent transferase
B0205.6	IPR016454	Cysteine desulfurase
B0205.6	IPR020578	Aminotransferase class-V, pyridoxal-phosphate binding site
B0205.7	IPR000719	Protein kinase domain
B0205.7	IPR008271	Serine/threonine-protein kinase, active site
B0205.7	IPR011009	Protein kinase-like domain superfamily
B0205.7	IPR017441	Protein kinase, ATP binding site
B0205.7	IPR045216	Casein Kinase 2, subunit alpha
B0205.8	IPR028271	RNA guanine-N7 methyltransferase activating subunit
B0205.9	IPR006570	SPK domain
B0207.1	IPR000242	Tyrosine-specific protein phosphatase, PTPase domain
B0207.1	IPR000387	Tyrosine-specific protein phosphatases domain
B0207.1	IPR003595	Protein-tyrosine phosphatase, catalytic
B0207.1	IPR016130	Protein-tyrosine phosphatase, active site
B0207.1	IPR029021	Protein-tyrosine phosphatase-like
B0207.12b	IPR006028	Gamma-aminobutyric acid A receptor/Glycine receptor alpha
B0207.12b	IPR006029	Neurotransmitter-gated ion-channel transmembrane domain
B0207.12b	IPR006201	Neurotransmitter-gated ion-channel
B0207.12b	IPR006202	Neurotransmitter-gated ion-channel ligand-binding domain
B0207.12b	IPR018000	Neurotransmitter-gated ion-channel, conserved site
B0207.12b	IPR036719	Neurotransmitter-gated ion-channel transmembrane domain superfamily
B0207.12b	IPR036734	Neurotransmitter-gated ion-channel ligand-binding domain superfamily
B0207.12b	IPR038050	Neuronal acetylcholine receptor
B0207.3	IPR001019	Guanine nucleotide binding protein (G-protein), alpha subunit
B0207.3	IPR011025	G protein alpha subunit, helical insertion
B0207.3	IPR027417	P-loop containing nucleoside triphosphate hydrolase
B0207.4	IPR000719	Protein kinase domain
B0207.4	IPR008271	Serine/threonine-protein kinase, active site
B0207.4	IPR011009	Protein kinase-like domain superfamily
B0207.4	IPR017441	Protein kinase, ATP binding site
B0207.4	IPR030616	Aurora kinase-like
B0207.6	IPR004130	GPN-loop GTPase
B0207.6	IPR027417	P-loop containing nucleoside triphosphate hydrolase
B0207.6	IPR030231	GPN-loop GTPase 2
B0207.7	IPR000719	Protein kinase domain
B0207.7	IPR011009	Protein kinase-like domain superfamily
B0207.7	IPR017441	Protein kinase, ATP binding site
B0207.7	IPR047916	Tau-tubulin kinase homolog Asator-like, catalytic domain
B0212.1b	IPR004878	Otopetrin
B0212.2	IPR004151	7TM GPCR, serpentine receptor class e (Sre)
B0212.3	IPR006570	SPK domain
B0212.4b	IPR007271	Nucleotide-sugar transporter
B0212.5	IPR002110	Ankyrin repeat
B0212.5	IPR005821	Ion transport domain
B0212.5	IPR024862	Transient receptor potential cation channel subfamily V
B0212.5	IPR036770	Ankyrin repeat-containing domain superfamily
B0213.10	IPR001128	Cytochrome P450
B0213.10	IPR002401	Cytochrome P450, E-class, group I
B0213.10	IPR017972	Cytochrome P450, conserved site
B0213.10	IPR036396	Cytochrome P450 superfamily
B0213.11a	IPR001128	Cytochrome P450
B0213.11a	IPR002401	Cytochrome P450, E-class, group I
B0213.11a	IPR017972	Cytochrome P450, conserved site
B0213.11a	IPR036396	Cytochrome P450 superfamily
B0213.12	IPR001128	Cytochrome P450
B0213.12	IPR002401	Cytochrome P450, E-class, group I
B0213.12	IPR017972	Cytochrome P450, conserved site
B0213.12	IPR036396	Cytochrome P450 superfamily
B0213.14	IPR001128	Cytochrome P450
B0213.14	IPR002401	Cytochrome P450, E-class, group I
B0213.14	IPR017972	Cytochrome P450, conserved site
B0213.14	IPR036396	Cytochrome P450 superfamily
B0213.15b	IPR001128	Cytochrome P450
B0213.15b	IPR002401	Cytochrome P450, E-class, group I
B0213.15b	IPR017972	Cytochrome P450, conserved site
B0213.15b	IPR036396	Cytochrome P450 superfamily
B0213.16	IPR001128	Cytochrome P450
B0213.16	IPR002401	Cytochrome P450, E-class, group I
B0213.16	IPR017972	Cytochrome P450, conserved site
B0213.16	IPR036396	Cytochrome P450 superfamily
B0213.7	IPR019428	7TM GPCR, serpentine receptor class r (Str)
B0213.8	IPR019428	7TM GPCR, serpentine receptor class r (Str)
B0213.9	IPR019428	7TM GPCR, serpentine receptor class r (Str)
B0218.1	IPR020556	Amidase, conserved site
B0218.1	IPR023631	Amidase signature domain
B0218.1	IPR036928	Amidase signature (AS) superfamily
B0218.2	IPR020556	Amidase, conserved site
B0218.2	IPR023631	Amidase signature domain
B0218.2	IPR036928	Amidase signature (AS) superfamily
B0218.3	IPR000719	Protein kinase domain
B0218.3	IPR003527	Mitogen-activated protein (MAP) kinase, conserved site
B0218.3	IPR008352	Mitogen-activated protein (MAP) kinase p38-like
B0218.3	IPR011009	Protein kinase-like domain superfamily
B0218.3	IPR017441	Protein kinase, ATP binding site
B0218.5	IPR000719	Protein kinase domain
B0218.5	IPR011009	Protein kinase-like domain superfamily
B0218.5	IPR017441	Protein kinase, ATP binding site
B0218.6a	IPR001304	C-type lectin-like
B0218.6a	IPR016186	C-type lectin-like/link domain superfamily
B0218.6a	IPR016187	C-type lectin fold
B0218.8	IPR001304	C-type lectin-like
B0218.8	IPR016186	C-type lectin-like/link domain superfamily
B0218.8	IPR016187	C-type lectin fold
B0222.1	IPR002619	Domain of unknown function CX
B0222.11	IPR029034	Cystine-knot cytokine
B0222.15	IPR045860	Snake toxin-like superfamily
B0222.2	IPR001204	Phosphate transporter
B0222.3	IPR001204	Phosphate transporter
B0222.4	IPR002129	Pyridoxal phosphate-dependent decarboxylase
B0222.4	IPR015421	Pyridoxal phosphate-dependent transferase, major domain
B0222.4	IPR015422	Pyridoxal phosphate-dependent transferase, small domain
B0222.4	IPR015424	Pyridoxal phosphate-dependent transferase
B0222.5	IPR000716	Thyroglobulin type-1
B0222.5	IPR002223	Pancreatic trypsin inhibitor Kunitz domain
B0222.5	IPR020901	Proteinase inhibitor I2, Kunitz, conserved site
B0222.5	IPR036857	Thyroglobulin type-1 superfamily
B0222.5	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily
B0222.6	IPR002486	Nematode cuticle collagen, N-terminal
B0222.7	IPR002486	Nematode cuticle collagen, N-terminal
B0222.7	IPR008160	Collagen triple helix repeat
B0222.8	IPR002486	Nematode cuticle collagen, N-terminal
B0222.9	IPR000674	Aldehyde oxidase/xanthine dehydrogenase, a/b hammerhead
B0222.9	IPR001041	2Fe-2S ferredoxin-type iron-sulfur binding domain
B0222.9	IPR002346	Molybdopterin dehydrogenase, FAD-binding
B0222.9	IPR002888	[2Fe-2S]-binding
B0222.9	IPR006058	2Fe-2S ferredoxin, iron-sulphur binding site
B0222.9	IPR008274	Aldehyde oxidase/xanthine dehydrogenase, first molybdopterin binding domain
B0222.9	IPR012675	Beta-grasp domain superfamily
B0222.9	IPR016166	FAD-binding domain, PCMH-type
B0222.9	IPR016169	FAD-binding, type PCMH, subdomain 2
B0222.9	IPR016208	Aldehyde oxidase/xanthine dehydrogenase-like
B0222.9	IPR036010	2Fe-2S ferredoxin-like superfamily
B0222.9	IPR036318	FAD-binding, type PCMH-like superfamily
B0222.9	IPR036856	Aldehyde oxidase/xanthine dehydrogenase, a/b hammerhead superfamily
B0222.9	IPR036884	[2Fe-2S]-binding domain superfamily
B0222.9	IPR037165	Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding domain superfamily
B0222.9	IPR046867	Aldehyde oxidase/xanthine dehydrogenase, second molybdopterin binding domain
B0228.4c	IPR002035	von Willebrand factor, type A
B0228.4c	IPR010734	Copine, C-terminal
B0228.5a	IPR005746	Thioredoxin
B0228.5a	IPR013766	Thioredoxin domain
B0228.5a	IPR017937	Thioredoxin, conserved site
B0228.5a	IPR036249	Thioredoxin-like superfamily
B0228.7	IPR000845	Nucleoside phosphorylase domain
B0228.7	IPR010044	Methylthioadenosine phosphorylase (MTAP)
B0228.7	IPR018099	Purine phosphorylase, family 2, conserved site
B0228.7	IPR035994	Nucleoside phosphorylase superfamily
B0228.8	IPR035415	DUF5382, central domain
B0228.8	IPR048313	DUF5382, N-terminal domain
B0228.9	IPR035415	DUF5382, central domain
B0228.9	IPR048313	DUF5382, N-terminal domain
B0228.9	IPR048314	DUF5382, C-terminal domain
B0238.1	IPR002018	Carboxylesterase, type B
B0238.1	IPR019826	Carboxylesterase type B, active site
B0238.1	IPR029058	Alpha/Beta hydrolase fold
B0238.1	IPR043187	Esterase CM06B1-like
B0238.10	IPR000182	GNAT domain
B0238.10	IPR016181	Acyl-CoA N-acyltransferase
B0238.10	IPR044542	N-alpha-acetyltransferase 30-like
B0238.11	IPR036910	High mobility group box domain superfamily
B0238.12	IPR002919	Trypsin Inhibitor-like, cysteine rich domain
B0238.12	IPR036084	Serine protease inhibitor-like superfamily
B0238.3	IPR019425	7TM GPCR, serpentine receptor class t (Srt)
B0238.5a	IPR019425	7TM GPCR, serpentine receptor class t (Srt)
B0238.6	IPR019425	7TM GPCR, serpentine receptor class t (Srt)
B0238.7	IPR002018	Carboxylesterase, type B
B0238.7	IPR019826	Carboxylesterase type B, active site
B0238.7	IPR029058	Alpha/Beta hydrolase fold
B0238.7	IPR043187	Esterase CM06B1-like
B0238.8	IPR019425	7TM GPCR, serpentine receptor class t (Srt)
B0238.9	IPR026066	Headcase protein
B0240.1	IPR002229	Blood group Rhesus C/E/D polypeptide
B0240.1	IPR024041	Ammonium transporter AmtB-like domain
B0240.1	IPR029020	Ammonium/urea transporter
B0240.2	IPR012858	Dendritic cell-specific transmembrane protein-like
B0240.3a	IPR000719	Protein kinase domain
B0240.3a	IPR001054	Adenylyl cyclase class-3/4/guanylyl cyclase
B0240.3a	IPR001828	Receptor, ligand binding region
B0240.3a	IPR011009	Protein kinase-like domain superfamily
B0240.3a	IPR028082	Periplasmic binding protein-like I
B0240.3a	IPR029787	Nucleotide cyclase
B0240.4	IPR019049	Nucleoporin protein Ndc1-Nup
B0244.10a	IPR017452	GPCR, rhodopsin-like, 7TM
B0244.10a	IPR040435	Putative G-protein coupled receptor, Chromadorea
B0244.15	IPR017452	GPCR, rhodopsin-like, 7TM
B0244.15	IPR040435	Putative G-protein coupled receptor, Chromadorea
B0244.16	IPR017452	GPCR, rhodopsin-like, 7TM
B0244.16	IPR040435	Putative G-protein coupled receptor, Chromadorea
B0244.17	IPR017452	GPCR, rhodopsin-like, 7TM
B0244.17	IPR040435	Putative G-protein coupled receptor, Chromadorea
B0244.2	IPR000242	Tyrosine-specific protein phosphatase, PTPase domain
B0244.2	IPR000387	Tyrosine-specific protein phosphatases domain
B0244.2	IPR003595	Protein-tyrosine phosphatase, catalytic
B0244.2	IPR029021	Protein-tyrosine phosphatase-like
B0244.2	IPR033522	Receptor-type tyrosine-protein phosphatase-like N/N2
B0244.4b	IPR017452	GPCR, rhodopsin-like, 7TM
B0244.4b	IPR040435	Putative G-protein coupled receptor, Chromadorea
B0244.5	IPR017452	GPCR, rhodopsin-like, 7TM
B0244.5	IPR040435	Putative G-protein coupled receptor, Chromadorea
B0244.6	IPR040435	Putative G-protein coupled receptor, Chromadorea
B0244.7	IPR017452	GPCR, rhodopsin-like, 7TM
B0244.7	IPR040435	Putative G-protein coupled receptor, Chromadorea
B0244.8	IPR002172	Low-density lipoprotein (LDL) receptor class A repeat
B0244.8	IPR023415	Low-density lipoprotein (LDL) receptor class A, conserved site
B0244.8	IPR036055	LDL receptor-like superfamily
B0250.1	IPR002171	Large ribosomal subunit protein uL2
B0250.1	IPR008991	Translation protein SH3-like domain superfamily
B0250.1	IPR012340	Nucleic acid-binding, OB-fold
B0250.1	IPR014722	Large ribosomal subunit protein uL2, domain 2
B0250.1	IPR014726	Large ribosomal subunit protein uL2, domain 3
B0250.1	IPR022666	Large ribosomal subunit protein uL2, RNA-binding domain
B0250.1	IPR022669	Large ribosomal subunit protein uL2, C-terminal
B0250.1	IPR022671	Large ribosomal subunit protein uL2, conserved site
B0250.10	IPR019420	7TM GPCR, serpentine receptor class bc (Srbc)
B0250.5	IPR002204	3-hydroxyisobutyrate dehydrogenase-related, conserved site
B0250.5	IPR006115	6-phosphogluconate dehydrogenase, NADP-binding
B0250.5	IPR008927	6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily
B0250.5	IPR011548	3-hydroxyisobutyrate dehydrogenase
B0250.5	IPR013328	6-phosphogluconate dehydrogenase, domain 2
B0250.5	IPR015815	3-hydroxyisobutyrate dehydrogenase-related
B0250.5	IPR029154	3-hydroxyisobutyrate dehydrogenase-like, NAD-binding domain
B0250.5	IPR036291	NAD(P)-binding domain superfamily
B0250.6	IPR019420	7TM GPCR, serpentine receptor class bc (Srbc)
B0250.9	IPR001171	Sterol biosynthesis ERG24/DHCR-like
B0252.1	IPR000719	Protein kinase domain
B0252.1	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
B0252.1	IPR008266	Tyrosine-protein kinase, active site
B0252.1	IPR011009	Protein kinase-like domain superfamily
B0252.2	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type
B0252.2	IPR008139	Saposin B type domain
B0252.2	IPR011001	Saposin-like
B0252.2	IPR011160	Sphingomyelin phosphodiesterase
B0252.2	IPR029052	Metallo-dependent phosphatase-like
B0252.2	IPR041805	Acid sphingomyelinase/endopolyphosphatase, metallophosphatase domain
B0252.2	IPR045473	Sphingomyelin phosphodiesterase, C-terminal domain
B0252.3b	IPR005828	Major facilitator, sugar transporter-like
B0252.3b	IPR020846	Major facilitator superfamily domain
B0252.3b	IPR036259	MFS transporter superfamily
B0252.4b	IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
B0252.4b	IPR020892	Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site
B0252.4b	IPR024936	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
B0252.4b	IPR029000	Cyclophilin-like domain superfamily
B0252.4b	IPR044666	Cyclophilin-type peptidyl-prolyl cis-trans isomerase, cyclophilin A-like
B0261.1	IPR001005	SANT/Myb domain
B0261.1	IPR009057	Homeobox-like domain superfamily
B0261.1	IPR039467	Transcription factor TFIIIB component B'', Myb domain
B0261.2a	IPR000403	Phosphatidylinositol 3-/4-kinase, catalytic domain
B0261.2a	IPR003151	PIK-related kinase, FAT
B0261.2a	IPR003152	FATC domain
